2018 Headline,2018 hierarchy_level,2017 Headline,2017 hierarchy_level,Semantic Similarity,Levenshtein Distance,Jaccard Similarity
§2103. Definition of gross estate,6.Section,§2051. Definition of taxable estate,6.Section,0.70,10,0.43
§2103. Definition of gross estate,6.Section,§2103. Definition of gross estate,6.Section,1.00,0,1.00
§2104. Property within the United States,6.Section,§2104. Property within the United States,6.Section,1.00,0,1.00
§2104. Property within the United States,6.Section,§2105. Property without the United States,6.Section,0.78,4,0.50
§2105. Property without the United States,6.Section,§2104. Property within the United States,6.Section,0.78,4,0.50
§2105. Property without the United States,6.Section,§2105. Property without the United States,6.Section,1.00,0,1.00
§2106. Taxable estate,6.Section,§2106. Taxable estate,6.Section,1.00,0,1.00
§2106. Taxable estate,6.Section,§2503. Taxable gifts,6.Section,0.50,7,0.20
§2107. Expatriation to avoid tax,6.Section,§877. Expatriation to avoid tax,6.Section,0.71,3,0.67
§2107. Expatriation to avoid tax,6.Section,§2107. Expatriation to avoid tax,6.Section,1.00,0,1.00
§2108. Application of pre-1967 estate tax provisions,6.Section,§2108. Application of pre-1967 estate tax provisions,6.Section,1.00,0,1.00
Subchapter C—Miscellaneous,3.Subchapter,Subpart F—Miscellaneous,5.Subpart,0.76,6,0.00
Subchapter C—Miscellaneous,3.Subchapter,Subchapter C—Miscellaneous,3.Subchapter,1.00,0,1.00
Subchapter C—Miscellaneous,3.Subchapter,Subchapter C—Deductions,3.Subchapter,0.85,10,0.33
Subchapter C—Miscellaneous,3.Subchapter,Subchapter C—Miscellaneous Provisions,3.Subchapter,0.88,11,0.67
Subchapter C—Miscellaneous,3.Subchapter,Subchapter A—Licensing,3.Subchapter,0.60,10,0.33
Subchapter C—Miscellaneous,3.Subchapter,Subchapter C—Forfeitures,3.Subchapter,0.87,10,0.33
Subchapter C—Miscellaneous,3.Subchapter,Subchapter D—Possessions,3.Subchapter,0.72,10,0.33
"§2201. Combat zone-related deaths of members of the Armed Forces, deaths of astronauts, and deaths of victims of certain terrorist attacks",6.Section,"§692. Income taxes of members of Armed Forces, astronauts, and victims of certain terrorist attacks on death",6.Section,0.59,58,0.50
"§2201. Combat zone-related deaths of members of the Armed Forces, deaths of astronauts, and deaths of victims of certain terrorist attacks",6.Section,"§2201. Combat zone-related deaths of members of the Armed Forces, deaths of astronauts, and deaths of victims of certain terrorist attacks",6.Section,1.00,0,1.00
"[§2202. Repealed. Pub. L. 94–455, title XIX, §1902(a)(8), Oct. 4, 1976, 90 Stat. 1805]",6.Section,"[§4. Repealed. Pub. L. 94–455, title V, §501(b)(1), Oct. 4, 1976, 90 Stat. 1558]",6.Section,0.79,15,0.56
"[§2202. Repealed. Pub. L. 94–455, title XIX, §1902(a)(8), Oct. 4, 1976, 90 Stat. 1805]",6.Section,"[§76. Repealed. Pub. L. 94–455, title XIX, §1901(a)(14), Oct. 4, 1976, 90 Stat. 1765]",6.Section,0.82,9,0.65
"[§2202. Repealed. Pub. L. 94–455, title XIX, §1902(a)(8), Oct. 4, 1976, 90 Stat. 1805]",6.Section,"[§187. Repealed. Pub. L. 94–455, title XIX, §1901(a)(31), Oct. 4, 1976, 90 Stat. 1769]",6.Section,0.79,10,0.65
"[§2202. Repealed. Pub. L. 94–455, title XIX, §1902(a)(8), Oct. 4, 1976, 90 Stat. 1805]",6.Section,"[§214. Repealed. Pub. L. 94–455, title V, §504(b)(1), Oct. 4, 1976, 90 Stat. 1565]",6.Section,0.79,13,0.56
"[§2202. Repealed. Pub. L. 94–455, title XIX, §1902(a)(8), Oct. 4, 1976, 90 Stat. 1805]",6.Section,"[§242. Repealed. Pub. L. 94–455, title XIX, §1901(a)(33), Oct. 4, 1976, 90 Stat. 1769]",6.Section,0.85,8,0.65
"[§2202. Repealed. Pub. L. 94–455, title XIX, §1902(a)(8), Oct. 4, 1976, 90 Stat. 1805]",6.Section,"[§342. Repealed. Pub. L. 94–455, title XIX, §1901(a)(47), Oct. 4, 1976, 90 Stat. 1772]",6.Section,0.82,9,0.65
"[§2202. Repealed. Pub. L. 94–455, title XIX, §1902(a)(8), Oct. 4, 1976, 90 Stat. 1805]",6.Section,"[§363. Repealed. Pub. L. 94–455, title XIX, §1901(a)(49), Oct. 4, 1976, 90 Stat. 1773]",6.Section,0.79,10,0.65
"[§2202. Repealed. Pub. L. 94–455, title XIX, §1902(a)(8), Oct. 4, 1976, 90 Stat. 1805]",6.Section,"[§373. Repealed. Pub. L. 94–455, title XIX, §1901(a)(52), Oct. 4, 1976, 90 Stat. 1773]",6.Section,0.82,10,0.65
"[§2202. Repealed. Pub. L. 94–455, title XIX, §1902(a)(8), Oct. 4, 1976, 90 Stat. 1805]",6.Section,"[§§391 to 395. Repealed. Pub. L. 94–455, title XIX, §1901(a)(55), Oct. 4, 1976, 90 Stat. 1773]",6.Section,0.75,17,0.58
"[§2202. Repealed. Pub. L. 94–455, title XIX, §1902(a)(8), Oct. 4, 1976, 90 Stat. 1805]",6.Section,"[§583. Repealed. Pub. L. 94–455, title XIX, §1901(a)(82), Oct. 4, 1976, 90 Stat. 1778]",6.Section,0.80,9,0.65
"[§2202. Repealed. Pub. L. 94–455, title XIX, §1902(a)(8), Oct. 4, 1976, 90 Stat. 1805]",6.Section,"[§592. Repealed. Pub. L. 94–455, title XIX, §1901(a)(83), Oct. 4, 1976, 90 Stat. 1778]",6.Section,0.86,8,0.65
"[§2202. Repealed. Pub. L. 94–455, title XIX, §1902(a)(8), Oct. 4, 1976, 90 Stat. 1805]",6.Section,"[§601. Repealed. Pub. L. 94–455, title XIX, §1901(a)(85), Oct. 4, 1976, 90 Stat. 1778]",6.Section,0.81,8,0.65
"[§2202. Repealed. Pub. L. 94–455, title XIX, §1902(a)(8), Oct. 4, 1976, 90 Stat. 1805]",6.Section,"[§615. Repealed. Pub. L. 94–455, title XIX, §1901(a)(88), Oct. 4, 1976, 90 Stat. 1779]",6.Section,0.80,9,0.65
"[§2202. Repealed. Pub. L. 94–455, title XIX, §1902(a)(8), Oct. 4, 1976, 90 Stat. 1805]",6.Section,"[§632. Repealed. Pub. L. 94–455, title XIX, §1901(a)(90), Oct. 4, 1976, 90 Stat. 1779]",6.Section,0.84,9,0.65
"[§2202. Repealed. Pub. L. 94–455, title XIX, §1902(a)(8), Oct. 4, 1976, 90 Stat. 1805]",6.Section,"[§669. Repealed. Pub. L. 94–455, title VII, §701(d)(1), Oct. 4, 1976, 90 Stat. 1578]",6.Section,0.72,14,0.56
"[§2202. Repealed. Pub. L. 94–455, title XIX, §1902(a)(8), Oct. 4, 1976, 90 Stat. 1805]",6.Section,"[§972. Repealed. Pub. L. 94–455, title XIX, §1901(a)(120), Oct. 4, 1976, 90 Stat. 1784]",6.Section,0.87,10,0.65
"[§2202. Repealed. Pub. L. 94–455, title XIX, §1902(a)(8), Oct. 4, 1976, 90 Stat. 1805]",6.Section,"[§981. Repealed. Pub. L. 94–455, title X, §1012(b)(2), Oct. 4, 1976, 90 Stat. 1614]",6.Section,0.75,13,0.56
"[§2202. Repealed. Pub. L. 94–455, title XIX, §1902(a)(8), Oct. 4, 1976, 90 Stat. 1805]",6.Section,"[§1002. Repealed. Pub. L. 94–455, title XIX, §1901(b)(28)(B)(i), Oct. 4, 1976, 90 Stat. 1799]",6.Section,0.82,14,0.65
"[§2202. Repealed. Pub. L. 94–455, title XIX, §1902(a)(8), Oct. 4, 1976, 90 Stat. 1805]",6.Section,"[§1020. Repealed. Pub. L. 94–455, title XIX, §1901(a)(125), Oct. 4, 1976, 90 Stat. 1784]",6.Section,0.84,10,0.65
"[§2202. Repealed. Pub. L. 94–455, title XIX, §1902(a)(8), Oct. 4, 1976, 90 Stat. 1805]",6.Section,"[§1111. Repealed. Pub. L. 94–455, title XIX, §1901(a)(134), Oct. 4, 1976, 90 Stat. 1786]",6.Section,0.81,11,0.65
"[§2202. Repealed. Pub. L. 94–455, title XIX, §1902(a)(8), Oct. 4, 1976, 90 Stat. 1805]",6.Section,"[§1240. Repealed. Pub. L. 94–455, title XIX, §1901(a)(139), Oct. 4, 1976, 90 Stat. 1787]",6.Section,0.78,10,0.65
"[§2202. Repealed. Pub. L. 94–455, title XIX, §1902(a)(8), Oct. 4, 1976, 90 Stat. 1805]",6.Section,"[§1315. Repealed. Pub. L. 94–455, title XIX, §1901(a)(143), Oct. 4, 1976, 90 Stat. 1788]",6.Section,0.75,11,0.65
"[§2202. Repealed. Pub. L. 94–455, title XIX, §1902(a)(8), Oct. 4, 1976, 90 Stat. 1805]",6.Section,"[§1321. Repealed. Pub. L. 94–455, title XIX, §1901(a)(144), Oct. 4, 1976, 90 Stat. 1788]",6.Section,0.83,11,0.65
"[§2202. Repealed. Pub. L. 94–455, title XIX, §1902(a)(8), Oct. 4, 1976, 90 Stat. 1805]",6.Section,"[§§1331 to 1337. Repealed. Pub. L. 94–455, title XIX, §1901(a)(145)(A), Oct. 4, 1976, 90 Stat. 1788]",6.Section,0.74,23,0.58
"[§2202. Repealed. Pub. L. 94–455, title XIX, §1902(a)(8), Oct. 4, 1976, 90 Stat. 1805]",6.Section,"[§1342. Repealed. Pub. L. 94–455, title XIX, §1901(a)(147), Oct. 4, 1976, 90 Stat. 1788]",6.Section,0.86,10,0.65
"[§2202. Repealed. Pub. L. 94–455, title XIX, §1902(a)(8), Oct. 4, 1976, 90 Stat. 1805]",6.Section,"[§1346. Repealed. Pub. L. 94–455, title XIX, §1901(a)(148), Oct. 4, 1976, 90 Stat. 1788]",6.Section,0.80,10,0.65
"[§2202. Repealed. Pub. L. 94–455, title XIX, §1902(a)(8), Oct. 4, 1976, 90 Stat. 1805]",6.Section,"[§1347. Repealed. Pub. L. 94–455, title XIX, §1951(b)(12)(A), Oct. 4, 1976, 90 Stat. 1840]",6.Section,0.74,14,0.65
"[§2202. Repealed. Pub. L. 94–455, title XIX, §1902(a)(8), Oct. 4, 1976, 90 Stat. 1805]",6.Section,"[§1465. Repealed. Pub. L. 94–455, title XIX, §1901(a)(156), Oct. 4, 1976, 90 Stat. 1789]",6.Section,0.78,11,0.65
"[§2202. Repealed. Pub. L. 94–455, title XIX, §1902(a)(8), Oct. 4, 1976, 90 Stat. 1805]",6.Section,"[§2052. Repealed. Pub. L. 94–455, title XX, §2001(a)(4), Oct. 4, 1976, 90 Stat. 1848]",6.Section,0.90,9,0.56
"[§2202. Repealed. Pub. L. 94–455, title XIX, §1902(a)(8), Oct. 4, 1976, 90 Stat. 1805]",6.Section,"[§2202. Repealed. Pub. L. 94–455, title XIX, §1902(a)(8), Oct. 4, 1976, 90 Stat. 1805]",6.Section,1.00,0,1.00
"[§2202. Repealed. Pub. L. 94–455, title XIX, §1902(a)(8), Oct. 4, 1976, 90 Stat. 1805]",6.Section,"[§2521. Repealed. Pub. L. 94–455, title XX, §2001(b)(3), Oct. 4, 1976, 90 Stat. 1849]",6.Section,0.81,11,0.56
"[§2202. Repealed. Pub. L. 94–455, title XIX, §1902(a)(8), Oct. 4, 1976, 90 Stat. 1805]",6.Section,"[§3113. Repealed. Pub. L. 94–455, title XIX, §1903(a)(2), Oct. 4, 1976, 90 Stat. 1806]",6.Section,0.77,7,0.65
"[§2202. Repealed. Pub. L. 94–455, title XIX, §1902(a)(8), Oct. 4, 1976, 90 Stat. 1805]",6.Section,"[§4226. Repealed. Pub. L. 94–455, title XIX, §1904(a)(4), Oct. 4, 1976, 90 Stat. 1811]",6.Section,0.83,7,0.65
"[§2202. Repealed. Pub. L. 94–455, title XIX, §1902(a)(8), Oct. 4, 1976, 90 Stat. 1805]",6.Section,"[§4292. Repealed. Pub. L. 94–455, title XIX, §1904(a)(9), Oct. 4, 1976, 90 Stat. 1812]",6.Section,0.86,6,0.65
"[§2202. Repealed. Pub. L. 94–455, title XIX, §1902(a)(8), Oct. 4, 1976, 90 Stat. 1805]",6.Section,"[§§4294, 4295. Repealed. Pub. L. 94–455, title XIX, §1904(a)(10), (11), Oct. 4, 1976, 90 Stat. 1812]",6.Section,0.79,20,0.58
"[§2202. Repealed. Pub. L. 94–455, title XIX, §1902(a)(8), Oct. 4, 1976, 90 Stat. 1805]",6.Section,"[§§4591 to 4597. Repealed. Pub. L. 94–455, title XIX, §1904(a)(15), Oct. 4, 1976, 90 Stat. 1814]",6.Section,0.76,18,0.58
"[§2202. Repealed. Pub. L. 94–455, title XIX, §1902(a)(8), Oct. 4, 1976, 90 Stat. 1805]",6.Section,"[§5315. Repealed. Pub. L. 94–455, title XIX, §1905(a)(19), Oct. 4, 1976, 90 Stat. 1820]",6.Section,0.78,9,0.65
"[§2202. Repealed. Pub. L. 94–455, title XIX, §1902(a)(8), Oct. 4, 1976, 90 Stat. 1805]",6.Section,"[§5676. Repealed. Pub. L. 94–455, title XIX, §1905(b)(1)(A), Oct. 4, 1976, 90 Stat. 1822]",6.Section,0.76,12,0.65
"[§2202. Repealed. Pub. L. 94–455, title XIX, §1902(a)(8), Oct. 4, 1976, 90 Stat. 1805]",6.Section,"[§5689. Repealed. Pub. L. 94–455, title XIX, §1905(b)(2)(E)(i), Oct. 4, 1976, 90 Stat. 1822]",6.Section,0.80,14,0.65
"[§2202. Repealed. Pub. L. 94–455, title XIX, §1902(a)(8), Oct. 4, 1976, 90 Stat. 1805]",6.Section,"[§6106. Repealed. Pub. L. 94–455, title XII, §1202(h)(1), Oct. 4, 1976, 90 Stat. 1688]",6.Section,0.72,10,0.56
"[§2202. Repealed. Pub. L. 94–455, title XIX, §1902(a)(8), Oct. 4, 1976, 90 Stat. 1805]",6.Section,"[§6162. Repealed. Pub. L. 94–455, title XIX, §1906(a)(12), Oct. 4, 1976, 90 Stat. 1825]",6.Section,0.85,7,0.65
"[§2202. Repealed. Pub. L. 94–455, title XIX, §1902(a)(8), Oct. 4, 1976, 90 Stat. 1805]",6.Section,"[§6417. Repealed. Pub. L. 94–455, title XIX, §1906(a)(25), Oct. 4, 1976, 90 Stat. 1827]",6.Section,0.73,9,0.65
"[§2202. Repealed. Pub. L. 94–455, title XIX, §1902(a)(8), Oct. 4, 1976, 90 Stat. 1805]",6.Section,"[§6680. Repealed. Pub. L. 94–455, title XIX, §1904(b)(10)(A)(vi)(I), Oct. 4, 1976, 90 Stat. 1817]",6.Section,0.79,20,0.65
"[§2202. Repealed. Pub. L. 94–455, title XIX, §1902(a)(8), Oct. 4, 1976, 90 Stat. 1805]",6.Section,"[§6681. Repealed. Pub. L. 94–455, title XIX, §1904(b)(10)(D)(i), Oct. 4, 1976, 90 Stat. 1817]",6.Section,0.79,16,0.65
"[§2202. Repealed. Pub. L. 94–455, title XIX, §1902(a)(8), Oct. 4, 1976, 90 Stat. 1805]",6.Section,"[§7233. Repealed. Pub. L. 94–455, title XIX, §1952(n)(2)(A), Oct. 4, 1976, 90 Stat. 1846]",6.Section,0.82,11,0.65
"[§2202. Repealed. Pub. L. 94–455, title XIX, §1902(a)(8), Oct. 4, 1976, 90 Stat. 1805]",6.Section,"[§7234. Repealed. Pub. L. 94–455, title XIX, §1904(b)(7)(B)(i), Oct. 4, 1976, 90 Stat. 1815]",6.Section,0.78,13,0.65
"[§2202. Repealed. Pub. L. 94–455, title XIX, §1902(a)(8), Oct. 4, 1976, 90 Stat. 1805]",6.Section,"[§7235. Repealed. Pub. L. 94–455, title XIX, §1904(b)(9)(B)(i), Oct. 4, 1976, 90 Stat. 1816]",6.Section,0.81,14,0.65
"[§2202. Repealed. Pub. L. 94–455, title XIX, §1902(a)(8), Oct. 4, 1976, 90 Stat. 1805]",6.Section,"[§7239. Repealed. Pub. L. 94–455, title XIX, §1904(b)(8)(D)(i), Oct. 4, 1976, 90 Stat. 1816]",6.Section,0.80,13,0.65
"[§2202. Repealed. Pub. L. 94–455, title XIX, §1902(a)(8), Oct. 4, 1976, 90 Stat. 1805]",6.Section,"[§7263. Repealed. Pub. L. 94–455, title XIX, §1952(n)(3)(A), Oct. 4, 1976, 90 Stat. 1846]",6.Section,0.79,11,0.65
"[§2202. Repealed. Pub. L. 94–455, title XIX, §1902(a)(8), Oct. 4, 1976, 90 Stat. 1805]",6.Section,"[§7264. Repealed. Pub. L. 94–455, title XIX, §1904(b)(9)(C)(i), Oct. 4, 1976, 90 Stat. 1816]",6.Section,0.77,14,0.65
"[§2202. Repealed. Pub. L. 94–455, title XIX, §1902(a)(8), Oct. 4, 1976, 90 Stat. 1805]",6.Section,"[§7265. Repealed. Pub. L. 94–455, title XIX, §1904(b)(7)(C)(i), Oct. 4, 1976, 90 Stat. 1815]",6.Section,0.80,13,0.65
"[§2202. Repealed. Pub. L. 94–455, title XIX, §1902(a)(8), Oct. 4, 1976, 90 Stat. 1805]",6.Section,"[§7267. Repealed. Pub. L. 94–455, title XIX, §1904(b)(8)(E)(i), Oct. 4, 1976, 90 Stat. 1816]",6.Section,0.76,13,0.65
"[§2202. Repealed. Pub. L. 94–455, title XIX, §1902(a)(8), Oct. 4, 1976, 90 Stat. 1805]",6.Section,"[§7274. Repealed. Pub. L. 94–455, title XIX, §1904(b)(8)(E)(i), Oct. 4, 1976, 90 Stat. 1816]",6.Section,0.79,13,0.65
"[§2202. Repealed. Pub. L. 94–455, title XIX, §1902(a)(8), Oct. 4, 1976, 90 Stat. 1805]",6.Section,"[§7515. Repealed. Pub. L. 94–455, title XII, §1202(h)(4), Oct. 4, 1976, 90 Stat. 1688]",6.Section,0.78,11,0.56
"[§2202. Repealed. Pub. L. 94–455, title XIX, §1902(a)(8), Oct. 4, 1976, 90 Stat. 1805]",6.Section,"[§7641. Repealed. Pub. L. 94–455, title XIX, §1906(a)(54), Oct. 4, 1976, 90 Stat. 1832]",6.Section,0.80,9,0.65
§2203. Definition of executor,6.Section,§2203. Definition of executor,6.Section,1.00,0,1.00
§2203. Definition of executor,6.Section,§4216. Definition of price,6.Section,0.51,10,0.33
§2204. Discharge of fiduciary from personal liability,6.Section,§2204. Discharge of fiduciary from personal liability,6.Section,1.00,0,1.00
§2205. Reimbursement out of estate,6.Section,§2205. Reimbursement out of estate,6.Section,1.00,0,1.00
§2206. Liability of life insurance beneficiaries,6.Section,§2206. Liability of life insurance beneficiaries,6.Section,1.00,0,1.00
§2207. Liability of recipient of property over which decedent had power of appointment,6.Section,§2207. Liability of recipient of property over which decedent had power of appointment,6.Section,1.00,0,1.00
§2207A. Right of recovery in the case of certain marital deduction property,6.Section,§2207A. Right of recovery in the case of certain marital deduction property,6.Section,1.00,0,1.00
§2207B. Right of recovery where decedent retained interest,6.Section,§2207B. Right of recovery where decedent retained interest,6.Section,1.00,0,1.00
§2208. Certain residents of possessions considered citizens of the United States,6.Section,§2208. Certain residents of possessions considered citizens of the United States,6.Section,1.00,0,1.00
§2208. Certain residents of possessions considered citizens of the United States,6.Section,§2209. Certain residents of possessions considered nonresidents not citizens of the United States,6.Section,0.85,18,0.69
§2209. Certain residents of possessions considered nonresidents not citizens of the United States,6.Section,§2208. Certain residents of possessions considered citizens of the United States,6.Section,0.85,18,0.69
§2209. Certain residents of possessions considered nonresidents not citizens of the United States,6.Section,§2209. Certain residents of possessions considered nonresidents not citizens of the United States,6.Section,1.00,0,1.00
"[§2210. Repealed. Pub. L. 111–312, title III, §301(a), Dec. 17, 2010, 124 Stat. 3300]",6.Section,"[§1022. Repealed. Pub. L. 111–312, title III, §301(a), Dec. 17, 2010, 124 Stat. 3300]",6.Section,0.93,4,0.87
"[§2210. Repealed. Pub. L. 111–312, title III, §301(a), Dec. 17, 2010, 124 Stat. 3300]",6.Section,"[§2210. Repealed. Pub. L. 111–312, title III, §301(a), Dec. 17, 2010, 124 Stat. 3300]",6.Section,1.00,0,1.00
"[§2210. Repealed. Pub. L. 111–312, title III, §301(a), Dec. 17, 2010, 124 Stat. 3300]",6.Section,"[§2664. Repealed. Pub. L. 111–312, title III, §301(a), Dec. 17, 2010, 124 Stat. 3300]",6.Section,0.85,3,0.87
"[§2210. Repealed. Pub. L. 111–312, title III, §301(a), Dec. 17, 2010, 124 Stat. 3300]",6.Section,"[§6716. Repealed. Pub. L. 111–312, title III, §301(a), Dec. 17, 2010, 124 Stat. 3300]",6.Section,0.88,3,0.87
CHAPTER 12—GIFT TAX,2.Chapter,CHAPTER 11—ESTATE TAX,2.Chapter,0.73,6,0.50
CHAPTER 12—GIFT TAX,2.Chapter,CHAPTER 12—GIFT TAX,2.Chapter,1.00,0,1.00
CHAPTER 12—GIFT TAX,2.Chapter,CHAPTER 54—GREENMAIL,2.Chapter,0.48,9,0.25
CHAPTER 12—GIFT TAX,2.Chapter,CHAPTER 66—LIMITATIONS,2.Chapter,0.47,10,0.25
CHAPTER 12—GIFT TAX,2.Chapter,CHAPTER 67—INTEREST,2.Chapter,0.50,9,0.25
CHAPTER 12—GIFT TAX,2.Chapter,CHAPTER 73—BONDS,2.Chapter,0.49,10,0.25
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,1.00,0,1.00
Subchapter A—Determination of Tax Liability,3.Subchapter,Subchapter A—Determination of Tax Liability,3.Subchapter,1.00,0,1.00
§2501. Imposition of tax,6.Section,§581. Definition of bank,6.Section,0.34,10,0.14
§2501. Imposition of tax,6.Section,§641. Imposition of tax,6.Section,0.60,3,0.60
§2501. Imposition of tax,6.Section,§1411. Imposition of tax,6.Section,0.54,3,0.60
§2501. Imposition of tax,6.Section,§2001. Imposition and rate of tax,6.Section,0.65,10,0.43
§2501. Imposition of tax,6.Section,§2501. Imposition of tax,6.Section,1.00,0,1.00
§2501. Imposition of tax,6.Section,§2502. Rate of tax,6.Section,0.82,10,0.33
§2501. Imposition of tax,6.Section,§2602. Amount of tax,6.Section,0.65,9,0.33
§2501. Imposition of tax,6.Section,§2801. Imposition of tax,6.Section,0.78,1,0.60
§2501. Imposition of tax,6.Section,§3321. Imposition of tax,6.Section,0.70,3,0.60
§2501. Imposition of tax,6.Section,§4041. Imposition of tax,6.Section,0.67,3,0.60
§2501. Imposition of tax,6.Section,§4071. Imposition of tax,6.Section,0.66,3,0.60
§2501. Imposition of tax,6.Section,§4081. Imposition of tax,6.Section,0.63,3,0.60
§2501. Imposition of tax,6.Section,§4121. Imposition of tax,6.Section,0.69,3,0.60
§2501. Imposition of tax,6.Section,§4131. Imposition of tax,6.Section,0.67,3,0.60
§2501. Imposition of tax,6.Section,§4161. Imposition of tax,6.Section,0.65,3,0.60
§2501. Imposition of tax,6.Section,§4181. Imposition of tax,6.Section,0.62,3,0.60
§2501. Imposition of tax,6.Section,§4251. Imposition of tax,6.Section,0.76,2,0.60
§2501. Imposition of tax,6.Section,§4254. Computation of tax,6.Section,0.54,8,0.33
§2501. Imposition of tax,6.Section,§4261. Imposition of tax,6.Section,0.70,3,0.60
§2501. Imposition of tax,6.Section,§4271. Imposition of tax,6.Section,0.68,3,0.60
§2501. Imposition of tax,6.Section,§4371. Imposition of tax,6.Section,0.59,3,0.60
§2501. Imposition of tax,6.Section,§4401. Imposition of tax,6.Section,0.63,2,0.60
§2501. Imposition of tax,6.Section,§4411. Imposition of tax,6.Section,0.65,3,0.60
§2501. Imposition of tax,6.Section,§4461. Imposition of tax,6.Section,0.62,3,0.60
§2501. Imposition of tax,6.Section,§4471. Imposition of tax,6.Section,0.62,3,0.60
§2501. Imposition of tax,6.Section,§4481. Imposition of tax,6.Section,0.63,3,0.60
§2501. Imposition of tax,6.Section,§4611. Imposition of tax,6.Section,0.67,3,0.60
§2501. Imposition of tax,6.Section,§4661. Imposition of tax,6.Section,0.65,3,0.60
§2501. Imposition of tax,6.Section,§4671. Imposition of tax,6.Section,0.67,3,0.60
§2501. Imposition of tax,6.Section,§4681. Imposition of tax,6.Section,0.64,3,0.60
§2501. Imposition of tax,6.Section,§5801. Imposition of tax,6.Section,0.69,2,0.60
§2502. Rate of tax,6.Section,§1401. Rate of tax,6.Section,0.45,3,0.60
§2502. Rate of tax,6.Section,§2501. Imposition of tax,6.Section,0.82,10,0.33
§2502. Rate of tax,6.Section,§2502. Rate of tax,6.Section,1.00,0,1.00
§2502. Rate of tax,6.Section,§2602. Amount of tax,6.Section,0.83,7,0.33
§2502. Rate of tax,6.Section,§3101. Rate of tax,6.Section,0.56,3,0.60
§2502. Rate of tax,6.Section,§3111. Rate of tax,6.Section,0.54,4,0.60
§2502. Rate of tax,6.Section,§3201. Rate of tax,6.Section,0.65,3,0.60
§2502. Rate of tax,6.Section,§3211. Rate of tax,6.Section,0.61,4,0.60
§2502. Rate of tax,6.Section,§3221. Rate of tax,6.Section,0.70,4,0.60
§2502. Rate of tax,6.Section,§3301. Rate of tax,6.Section,0.58,3,0.60
§2502. Rate of tax,6.Section,§4901. Payment of tax,6.Section,0.48,8,0.33
§2502. Rate of tax,6.Section,§5004. Lien for tax,6.Section,0.53,9,0.14
§2502. Rate of tax,6.Section,§5055. Drawback of tax,6.Section,0.58,10,0.33
§2502. Rate of tax,6.Section,§5701. Rate of tax,6.Section,0.56,3,0.60
§2502. Rate of tax,6.Section,§5706. Drawback of tax,6.Section,0.47,10,0.33
§2502. Rate of tax,6.Section,§5722. Reports,6.Section,0.44,10,0.00
§2502. Rate of tax,6.Section,§5732. Payment of tax,6.Section,0.65,8,0.33
§2502. Rate of tax,6.Section,§5821. Making tax,6.Section,0.54,9,0.17
§2503. Taxable gifts,6.Section,§2106. Taxable estate,6.Section,0.50,7,0.20
§2503. Taxable gifts,6.Section,§2503. Taxable gifts,6.Section,1.00,0,1.00
§2504. Taxable gifts for preceding calendar periods,6.Section,§2504. Taxable gifts for preceding calendar periods,6.Section,1.00,0,1.00
§2505. Unified credit against gift tax,6.Section,§2010. Unified credit against estate tax,6.Section,0.64,8,0.50
§2505. Unified credit against gift tax,6.Section,§2505. Unified credit against gift tax,6.Section,1.00,0,1.00
Subchapter B—Transfers,3.Subchapter,Subchapter B—Transfers,3.Subchapter,1.00,0,1.00
Subchapter B—Transfers,3.Subchapter,Subchapter C—Deductions,3.Subchapter,0.73,10,0.33
Subchapter B—Transfers,3.Subchapter,Subchapter A—Tax Imposed,3.Subchapter,0.64,10,0.25
Subchapter B—Transfers,3.Subchapter,Subchapter B—Generation-Skipping Transfers,3.Subchapter,0.86,20,0.25
Subchapter B—Transfers,3.Subchapter,[Subchapter A—Repealed],3.Subchapter,0.55,10,0.00
Subchapter B—Transfers,3.Subchapter,Subchapter B—Special Fuels,3.Subchapter,0.70,10,0.25
Subchapter B—Transfers,3.Subchapter,Subchapter B—Coal,3.Subchapter,0.75,8,0.33
Subchapter B—Transfers,3.Subchapter,[Subchapter A—Repealed],3.Subchapter,0.55,10,0.00
Subchapter B—Transfers,3.Subchapter,Subchapter B—Communications,3.Subchapter,0.86,12,0.33
Subchapter B—Transfers,3.Subchapter,[Subchapter D—Repealed],3.Subchapter,0.53,10,0.00
Subchapter B—Transfers,3.Subchapter,Subchapter A—Tax on Wagers,3.Subchapter,0.64,9,0.20
Subchapter B—Transfers,3.Subchapter,Subchapter B—Transportation by Water,3.Subchapter,0.80,17,0.20
Subchapter B—Transfers,3.Subchapter,[Subchapter C—Repealed],3.Subchapter,0.52,10,0.00
Subchapter B—Transfers,3.Subchapter,[Subchapter E—Repealed],3.Subchapter,0.51,10,0.00
Subchapter B—Transfers,3.Subchapter,[Subchapter F—Repealed],3.Subchapter,0.56,10,0.00
Subchapter B—Transfers,3.Subchapter,Subchapter G—Breweries,3.Subchapter,0.64,8,0.33
Subchapter B—Transfers,3.Subchapter,Subchapter A—Taxes,3.Subchapter,0.69,6,0.33
Subchapter B—Transfers,3.Subchapter,Subchapter B—Miscellaneous Provisions,3.Subchapter,0.80,19,0.25
Subchapter B—Transfers,3.Subchapter,Subchapter A—In General,3.Subchapter,0.64,9,0.25
Subchapter B—Transfers,3.Subchapter,Subchapter B—Receipt of Payment,3.Subchapter,0.81,16,0.20
