Parent Title 2017,Hierarchy Level 2017,Total Children 2017,Parent Title 2018,Hierarchy Level 2018,Total Children 2018,Semantic Matches,Semantic Similarity Avg,Levenshtein_Matches,Levenshtein Distance Avg,Jaccard_Matches,Jaccard Similarity Avg,Matching Children,Matching Children Same Level
Unrelated trade or business,6.Section,0,Unrelated trade or business,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Packaging distilled spirits for industrial uses,6.Section,0,Packaging distilled spirits for industrial uses,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Prohibited purchases by dealers,6.Section,0,Prohibited purchases by dealers,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Unrelated debtfinanced income,6.Section,0,Unrelated debtfinanced income,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Taxes of foreign countries and possessions of the United States,6.Section,0,Taxes of foreign countries and possessions of the United States,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Establishment,6.Section,0,Establishment,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Application The application for registration required by,6.Section,0,Application The application for reg istra tion req uired b y sec,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Bonds,6.Section,0,Bonds,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Repealed Pub L title VIII,6.Section,0,Repealed Pub L title VIII,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Export bonds,6.Section,0,Export bonds,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
New or renewed bonds,6.Section,0,New or renewed bonds,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Other provisions relating to bonds,6.Section,0,Other provisions relating to bonds,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Premises of distilled spirits plants,6.Section,0,Premises of distilled spirits plants,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Registration of stills,6.Section,0,Registration of stills,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Signs,6.Section,0,Signs,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Distilled spirits for fuel use,6.Section,0,Distilled spirits for fuel use,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Cross references For provisions requiring recordkeeping by whole,6.Section,0,Cross references For provisions requiring recordkeeping by whole,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
A Repealed Pub L div A title I,6.Section,0,A Repealed Pub L div A title I,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Special rules,6.Section,0,Special rules,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Regulation of operations,6.Section,0,Regulation of operations,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Supervision of operations All operations on the premises of a distilled,6.Section,0,Supervision of operations All o perations on th e pre mises o f a distill ed,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Entry and examination of premises,6.Section,0,Entry and examination of premises,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Gauging,6.Section,0,Gauging,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Repealed Pub L div A title IV,6.Section,0,Repealed Pub L div A title IV,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Containers,6.Section,0,Containers,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Records and reports,6.Section,0,Records and reports,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Exemption of farmers cooperatives from tax,6.Section,0,Exemption of farmers cooperatives from tax,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Production and entry of distilled spirits Distilled spirits in the process of production in,6.Section,0,Production and entry of distilled spirits Distill ed spi rits in th e proces s of prod uction in,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Transfer of distilled spirits between bond ed premises,6.Section,0,Transfer of distilled spirits between bond ed premises,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Withdrawal of distilled spirits from bond ed premises on determination of tax,6.Section,0,Withdrawal of distilled spirits from bond ed premises on determination of tax,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Withdrawal of distilled spirits from bond ed premises free of tax or without payment,6.Section,0,Withdrawal of distilled spirits from bond ed premises free of tax or without payment,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Return of tax determined distilled spirits to bonded premises,6.Section,0,Return of tax determined distilled spirits to bonded premises,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Regulation of operations For general provisions relating to operations on,6.Section,0,Regulation of operations For general provisions relating to operations on,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Repealed Pub L b Oct,6.Section,0,Repealed Pub L b Oct,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Commencement suspension and resump tion of operations,6.Section,0,Commencement suspension and resump tion of operations,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Production receipt removal and use of distilling materials,6.Section,0,Production receipt removal and use of distilling materials,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Redistillation of spirits articles and resi dues,6.Section,0,Redistillation of spirits articles and resi dues,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Entry for deposit All distilled spirits entered for deposit on the,6.Section,0,Entry for deposit All d istill ed spi rits entered f or deposit on th e,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Imported distilled spirits,6.Section,0,Imported distilled spirits,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Repealed Pub L title VIII,6.Section,0,Repealed Pub L title VIII,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Repealed Pub L title VIII,6.Section,0,Repealed Pub L title VIII,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Bottling of alcohol for industrial purposes Alcohol for industrial purposes may be bot,6.Section,0,Bottling of alcohol for industrial purposes Alcohol for industrial pu rposes m ay be bo ttled,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Discontinuance of storage facilities and transfer of distilled spirits,6.Section,0,Discontinuance of storage facilities and transfer of distilled spirits,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Authority to denature Under such regulations as the Secretary shall,6.Section,0,Authority to denature Under su ch reg ulations as th e Secre tary sh all,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Denaturing materials Methanol or other denaturing materials suit,6.Section,0,Denaturing materials Methanol or other denaturing m aterials su ita,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Sale of abandoned spirits for denatura tion without collection of tax,6.Section,0,Sale of abandoned spirits for denatura tion without collection of tax,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Cross references For provisions authorizing the withdrawal,6.Section,0,Cross references to exemptions etc For provisions authorizing the withdrawal,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Shipowners protection and indemnity as sociations,6.Section,0,Shipowners protection and indemnity as sociations,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Political organizations,6.Section,0,Political organizations,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Permits,6.Section,0,Permits,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Bonds,6.Section,0,Bonds,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Sale use and recovery of denatured dis tilled spirits,6.Section,0,Sale use and recovery of denatured dis tilled spirits,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Applicability of other laws The provisions including penalties of sections,6.Section,0,Applicability of other laws The pro visions including penalties of sections,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Records and reports Every person procuring or using distilled spir,6.Section,0,Records and reports Every p erson proc uring or using distill ed spi r,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Repealed Pub L title XI,6.Section,0,Repealed Pub L title XI,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Certain homeowners associations,6.Section,0,Certain homeowners associations,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Qualified tuition programs,6.Section,0,Qualified tuition programs,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
General,6.Section,0,General,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
A Qualified ABLE programs,6.Section,0,A Qualified ABLE programs,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Credit for prior year minimum tax liability,6.Section,0,Credit for prior year minimum tax liability,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Coverdell education savings accounts,6.Section,0,Coverdell education savings accounts,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
General,6.Section,0,General,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Imposition of accumulated earnings tax In addition to other taxes imposed by this,6.Section,0,Imposition of accumulated earnings tax In addition to o ther taxes im posed b y this c hap,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Detention of containers It shall be lawful for any internal revenue offi,6.Section,0,Detention of containers It sh all be la wful for any i nternal re venue of,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Production and use of distilled spirits for,6.Section,0,Production and use of distilled spirits for experimental research,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Withdrawal of distilled spirits from cus toms custody free of tax for use of the United,6.Section,0,Withdrawal of distilled spirits from cus toms custody free of tax for use of the United,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Special applicability of certain provisions,6.Section,0,Special applicability of certain provisions,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Repealed Pub L title XIX,6.Section,0,Repealed Pub L title XIX,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Corporations subject to accumulated earn ings tax,6.Section,0,Corporations subject to accumulated earn ings tax,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Evidence of purpose to avoid income tax,6.Section,0,Evidence of purpose to avoid income tax,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Burden of proof,6.Section,0,Burden of proof,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Accumulated taxable income,6.Section,0,Accumulated taxable income,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Bonded wine cellar,6.Section,0,Bonded wine cellar,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Taxpaid wine bottling house Any person bottling packaging or repackag,6.Section,0,Taxpaid wine bottling house Any p erson bo ttling packaging or re packaging,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Bonded wine warehouse Any responsible warehouse company or other,6.Section,0,Bonded wine warehouse Any resp onsible wa rehouse co mpany o r other,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Bond The bond for a bonded wine cellar shall be in,6.Section,0,Bond The bo nd for a bo nded w ine ce llar sh all be i n,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
General provisions relating to bonds The provisions of relating to,6.Section,0,General provisions relating to bonds The pro visions of relating to bo nds,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Application The application required by this shall dis,6.Section,0,Application The application req uired b y this p art sh all d is,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Premises Bonded wine cellar premises including non,6.Section,0,Premises Bonded w ine ce llar pre mises including noncon,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Income not placed on annual basis,6.Section,0,Income not placed on annual basis,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Bonded wine cellar operations In addition to the operations described in sec,6.Section,0,Bonded wine cellar operations In addition to th e operations described i n sec,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Removals of wine from bonded wine cel lars,6.Section,0,Removals of wine from bonded wine cel lars,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Taxpaid wine bottling house operations In addition to the operations described in sec,6.Section,0,Taxpaid wine bottling house operations In addition to th e operations described i n sec,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Wine imported in bulk Natural wine as defined in im,6.Section,0,Wine imported in bulk Natural w ine as defined i n sec tion im port,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Segregation of operations The Secretary may require by regulations,6.Section,0,Segregation of operations The Secre tary m ay req uire b y reg ulations su ch,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Supervision The Secretary may by regulations require that,6.Section,0,Supervision The Secre tary m ay by reg ulations req uire th at,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Records The proprietor of a bonded wine cellar or a,6.Section,0,Records The pro prietor of a bo nded w ine ce llar or a t ax,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Gauging and marking,6.Section,0,Gauging and marking,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Inventories Each proprietor of premises subject to the pro,6.Section,0,Inventories Each pro prietor of premises su bject to th e pro,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Reasonable needs of the business,6.Section,0,Reasonable needs of the business,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Losses,6.Section,0,Losses,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Insurance coverage etc Any remission abatement refund or credit,6.Section,0,Insurance coverage etc Any re mission a batement refund o r cred it of,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Sampling Under regulations prescribed by the Secretary,6.Section,0,Sampling Under reg ulations pres cribed b y th e Secre tary,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Wine spirits,6.Section,0,Wine spirits,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Natural wine Natural wine is the product of the juice or,6.Section,0,Natural wine Natural w ine is th e prod uct of the ju ice o r must,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Cellar treatment of natural wine,6.Section,0,Cellar treatment of natural wine,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Amelioration and sweetening limitations for natural grape wines,6.Section,0,Amelioration and sweetening limitations for natural grape wines,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Amelioration and sweetening limitations for natural fruit and berry wines,6.Section,0,Amelioration and sweetening limitations for natural fruit and berry wines,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Specially sweetened natural wines,6.Section,0,Specially sweetened natural wines,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Special natural wines,6.Section,0,Special natural wines,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Agricultural wines,6.Section,0,Agricultural wines,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Designation of wines,6.Section,0,Designation of wines,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Exemption from distilled spirits taxes Notwithstanding any other provision of law,6.Section,0,Exemption from distilled spirits taxes Notwithstanding any o ther pro vision of law the,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Definitions,6.Section,0,Definitions,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Repealed Pub L title I a,6.Section,0,Repealed Pub L title I a,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Qualifying documents,6.Section,0,Qualifying documents,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Definitions,6.Section,0,Definitions,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Cross references For authority of Secretary to disapprove brew,6.Section,0,Cross references F or authority of Secretary to disapprove brew,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Imposition of personal holding company tax,6.Section,0,Imposition of personal holding company tax,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Use of brewery The brewery shall be used under regulations,6.Section,0,Use of brewery The bre wery sh all be u sed u nder reg ulations,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Removal of beer in containers or by pipe line,6.Section,0,Removal of beer in containers or by pipe line,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Brewers procuring beer from other brew ers,6.Section,0,Brewers procuring beer from other brew ers,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Removals from one brewery to another belonging to the same brewer,6.Section,0,Removals from one brewery to another belonging to the same brewer,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Records and returns,6.Section,0,Records and returns,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Definitions of package and packaging For purposes of this the term,6.Section,0,Definitions of package and packaging For pu rposes o f this su bchapter the te rm p ack,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Pilot brewing plants Under such regulations as the Secretary may,6.Section,0,Pilot brewing plants Under su ch reg ulations as th e Secre tary m ay,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Beer imported in bulk Beer imported or brought into the United,6.Section,0,Beer imported in bulk Bee r im ported o r bro ught into th e United S tates,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Definition of personal holding company,6.Section,0,Definition of personal holding company,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Personal holding company income,6.Section,0,Personal holding company income,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Rules for determining stock ownership,6.Section,0,Rules for determining stock ownership,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Undistributed personal holding company income,6.Section,0,Undistributed personal holding company income,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Income not placed on annual basis,6.Section,0,Income not placed on annual basis,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Deduction for deficiency dividends,6.Section,0,Deduction for deficiency dividends,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Alternative minimum tax imposed,6.Section,0,Alternative minimum tax imposed,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Establishment Plants for the production of vinegar by the va,6.Section,0,Establishment Plants for th e prod uction of vinegar by th e va,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Qualification,6.Section,0,Qualification,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Construction and equipment Plants established under this for the,6.Section,0,Construction and equipment Plants est ablish ed u nder this p art for th e m an,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Operation,6.Section,0,Operation,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Applicability of provisions of this,6.Section,0,Applicability of provisions of this,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Establishment and operation This other than sections aC,6.Section,0,Establishment and operation This c hapter other th an sec tions a C,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Control of products after manufacture For applicability of all provisions of this,6.Section,0,Control of products after manufacture For applicability of all provisions of this,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
General provisions relating to bonds,6.Section,0,General provisions relating to bonds,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Installation of meters tanks and other apparatus,6.Section,0,Installation of meters tanks and other apparatus,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Supervision of premises and operations,6.Section,0,Supervision of premises and operations,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Pilot operations For the purpose of facilitating the develop,6.Section,0,Pilot operations For th e pu rpose o f facilitating th e development,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Records statements and returns,6.Section,0,Records statements and returns,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Regulations The regulations prescribed by the Secretary,6.Section,0,Regulations The reg ulations pres cribed b y th e Secre tary for,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Officers and agents authorized to inves tigate issue search warrants and prosecute,6.Section,0,Officers and agents authorized to inves tigate issue search warrants and prosecute,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Authority of enforcement officers For provisions relating to the authority of inter,6.Section,0,Authority of enforcement officers For provisions relating to the authority of inter,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Determinations Whenever the Secretary is required or author,6.Section,0,Determinations Whenever th e Secre tary is req uired o r author,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Other provisions applicable All provision of F insofar as applica,6.Section,0,Other provisions applicable All pro vision of F insofar as applicable,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Exemptions to meet the requirements of the national defense,6.Section,0,Exemptions to meet the requirements of the national defense,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Exemptions from certain requirements in cases of disaster,6.Section,0,Exemptions from certain requirements in cases of disaster,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Adjustments in computing alternative mini mum taxable income,6.Section,0,Adjustments in computing alternative min imum taxable income,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Criminal penalties,6.Section,0,Criminal penalties,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Penalty for tax fraud by distiller Whenever any person engaged in or carrying,6.Section,0,Penalty for tax fraud by distiller Whenever any p erson engaged i n or ca rrying on,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Penalty relating to records returns and reports,6.Section,0,Penalty relating to records returns and reports,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Penalties relating to marks brands and containers,6.Section,0,Penalties relating to marks brands and containers,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Penalty relating to return of materials used in the manufacture of distilled spirits,6.Section,0,Penalty relating to return of materials used in the manufacture of distilled spirits,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Penalty relating to containers of distilled spirits,6.Section,0,Penalty relating to containers of distilled spirits,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Penalty and forfeiture for unlawful use recovery or concealment of denatured dis,6.Section,0,Penalty and forfeiture for unlawful use recovery or concealment of denatured dis,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Penalty and forfeiture for fraudulent claims for export drawback or unlawful re,6.Section,0,Penalty and forfeiture for fraudulent claims for export drawback or unlawful relanding,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Destruction of unregistered stills distill ing apparatus equipment and materials,6.Section,0,Destruction of unregistered stills distill,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Definition of deduction for dividends paid,6.Section,0,Definition of deduction for dividends paid,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Disposal of forfeited equipment and mate rial for distilling,6.Section,0,Disposal of forfeited equipment and mate rial for distilling,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Release of distillery before judgment Any distillery or distilling apparatus seized on,6.Section,0,Release of distillery before judgment Any d istill ery o r distilli ng apparatus se ized o n,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Forfeiture of taxpaid distilled spirits re maining on bonded premises,6.Section,0,Forfeiture of taxpaid distilled spirits re maining on bonded premises,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Forfeiture of distilled spirits not closed marked or branded as required by law,6.Section,0,Forfeiture of distilled spirits not closed marked or branded as required by law,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Burden of proof in cases of seizure of spir its,6.Section,0,Burden of proof in cases of seizure of spir its,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Property subject to forfeiture The following property shall be forfeited to,6.Section,0,Property subject to forfeiture The following pro perty sh all be f orfeited to th e,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Rules applicable in determining dividends eligible for dividends paid deduction,6.Section,0,Rules applicable in determining dividends eligible for dividends paid deduction,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Rules relating to dividends paid after close of taxable year,6.Section,0,Rules relating to dividends paid after close of taxable year,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Dividend carryover,6.Section,0,Dividend carryover,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Consent dividends,6.Section,0,Consent dividends,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Penalty and forfeiture for violation of,6.Section,0,Penalty and forfeiture for violation of laws and regulations relating to wine,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Penalty for alteration of wine labels Any person who without the permission of the,6.Section,0,Penalty for alteration of wine labels Any p erson w ho without th e permission of the,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Cross reference For penalties of common application pertaining to,6.Section,0,Cross reference For penalties of common application pertaining,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Penalty and forfeiture for evasion of beer tax and fraudulent noncompliance with re,6.Section,0,Penalty and forfeiture for evasion of beer tax and fraudulent noncompliance with re,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Penalty for failure of brewer to comply with requirements and to keep records and,6.Section,0,Penalty for failure of brewer to comply with requirements and to keep records and,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Forfeiture for flagrant and willful re moval of beer without taxpayment,6.Section,0,Forfeiture for flagrant and willful removal of beer without taxpayment,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Penalty for unlawful production or re moval of beer,6.Section,0,Penalty for unlawful production or re moval of beer,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Penalty for intentional removal or deface ment of brewers marks and brands,6.Section,0,Penalty for intentional removal or deface ment of brewer s marks and brands,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Repealed Pub L title XIX,6.Section,0,Repealed Pub L title XIX,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Penalty relating to signs,6.Section,0,Penalty relating to signs,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Penalty for breaking locks or gaining ac cess,6.Section,0,Penalty for breaking locks or gaining access Every p erson w ho destro ys breaks injures or,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Penalty and forfeiture for removal of liq uors under improper brands,6.Section,0,Penalty and forfeiture for removal of liq uors under improper brands,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Penalties relating to the payment and col lection of liquor taxes,6.Section,0,Penalties relating to the payment and col lection of liquor taxes,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Penalty and forfeiture relating to posses sion of devices for emitting gas smoke etc,6.Section,0,Penalty and forfeiture relating to posses sion of devices for emitting gas smoke etc,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Penalty for having possessing or using liquor or property intended to be used in vio,6.Section,0,Penalty for having possessing or using liquor or property intended to be used in vio,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Penalty for offenses not specifically cov ered,6.Section,0,Penalty for offenses not specifically cov,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Disposition and release of seized property,6.Section,0,Disposition and release of seized property,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Repealed Pub L title XIX,6.Section,0,Repealed Pub L title XIX,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Definition of the term person The term person as used in this,6.Section,0,Definition of the term person The te rm p erson as used i n this su bchapter,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Repealed Pub L title XI,6.Section,0,Repealed Pub L title XI,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Repealed Pub L title II a,6.Section,0,Repealed Pub L title II a,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Items of tax preference,6.Section,0,Items of tax preference,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Rate of tax,6.Section,0,Rate of tax,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Definitions When used in this,6.Section,0,Definitions When used i n this c hapter,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Liability for tax and method of payment,6.Section,0,Liability for tax and method of payment,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Exemption from tax,6.Section,0,Exemption from tax,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Credit refund or allowance of tax,6.Section,0,Credit refund or allowance of tax,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Drawback of tax There shall be an allowance of drawback of tax,6.Section,0,Drawback of tax There sh all be a n all owance o f drawback of tax,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Repealed Pub L title V g,6.Section,0,Repealed Pub L title V g,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Losses caused by disaster,6.Section,0,Losses caused by disaster,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Bond,6.Section,0,Bond,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Application for permit Every person before commencing business as,6.Section,0,Application for permit Every p erson be fore co mmencing bu siness as a,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Permit,6.Section,0,Permit,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Inventories Every manufacturer or importer of tobacco,6.Section,0,Inventories Every m anufacturer or im porter of tobacco prod,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Reports Every manufacturer or importer of tobacco,6.Section,0,Inventories Every m anufacturer or im porter of tobacco prod,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
Packages marks labels and notices,6.Section,0,Packages marks labels and notices,6.Section,0,0,0.0,0,0.0,0,0.0,0,0
